;tempreatura;velocitavento;ozono;radiazionisolari;
3;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;
5;0,0;0,0;0,0;0,0;
6;0,0;0,0;0,0;0,0;
7;0,0;0,0;0,0;0,0;
8;0,0;0,0;0,0;0,0;
9;0,0;0,0;0,0;0,0;
10;0,0;0,0;0,0;0,0;
11;0,0;0,0;0,0;0,0;
12;0,0;0,0;0,0;0,0;
13;0,0;0,0;0,0;0,0;
14;0,0;0,0;0,0;0,0;
15;0,0;0,0;0,0;0,0;
16;0,0;0,0;0,0;0,0;
17;0,0;0,0;0,0;0,0;
18;0,0;0,0;0,0;0,0;
19;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;
21;0,0;0,0;0,0;0,0;
22;0,0;0,0;0,0;0,0;
23;0,0;0,0;0,0;0,0;
24;0,0;0,0;0,0;0,0;
25;0,0;0,0;0,0;0,0;
26;0,0;0,0;0,0;0,0;
27;0,0;0,0;0,0;0,0;
28;0,0;0,0;0,0;0,0;
29;0,0;0,0;0,0;0,0;
30;0,0;0,0;0,0;0,0;
31;0,0;0,0;0,0;0,0;
32;0,0;0,0;0,0;0,0;
33;0,0;0,0;0,0;0,0;
34;0,0;0,0;0,0;0,0;
35;0,0;0,0;0,0;0,0;
36;0,0;0,0;0,0;0,0;
37;0,0;0,0;0,0;0,0;
38;0,0;0,0;0,0;0,0;
39;0,0;0,0;0,0;0,0;
40;0,0;0,0;0,0;0,0;
41;0,0;0,0;0,0;0,0;
42;0,0;0,0;0,0;0,0;
43;0,0;0,0;0,0;0,0;
44;0,0;0,0;0,0;0,0;
45;0,0;0,0;0,0;0,0;
46;0,0;0,0;0,0;0,0;
47;0,0;0,0;0,0;0,0;
48;0,0;0,0;0,0;0,0;
49;0,12675415214532743;0,09158715988205508;0,09329613676748633;6,771943534644876E-4;
50;0,1540231850297852;0,09336466146934247;0,0824205872330737;6,391668248815509E-4;
51;0,14178502104619836;0,0968251346460335;0,08265504067280298;6,120680873971756E-4;
52;0,15655530657414304;0,09358564819453848;0,08912311456201327;6,615553921617588E-4;
53;0,15357863082885526;0,10068284105941543;0,10040747568514365;7,193263471850725E-4;
54;0,14799597008116672;0,10306475770715079;0,09291278087921052;4,0775274928657527E-4;
55;0,17271680439840623;0,09512424080982873;0,09069047316641726;4,142252769447574E-4;
56;0,34121587031284145;0,101667265722715;0,09524020400985302;2,795701839451937E-4;
57;0,19815945646246846;0,17345821784825968;0,10987898328783077;3,667746583105189E-4;
58;0,4159757052000832;0,0786758147193118;0,035102847654428504;3,3985624881431803E-4;
59;0,45260147666882583;0,04476067832666579;0,025748635408484093;2,1648187610468566E-4;
60;0,2609244588070713;0,0382111425738608;0,022898539376121775;4,3087080853791E-4;
61;0,27781022631060415;0,06557793944278606;0,011459472428861134;2,254351241462495E-4;
62;0,2766245293388168;0,08738143492748567;0,009878113586898789;2,1696818363399104E-4;
63;0,27143887313996135;0,09494474320853044;0,009520646821264895;1,5368882444148765E-4;
64;0,22863871681790485;0,05037750163047694;0,048683456056108965;2,6510120136498817E-4;
